assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
3,2,4,0.50352,1,44,2,Thompson,0,4,8470775,4,5,0.11363,C,0,0,20202021,0,1,0.1,L,20,Nate Thompson,WPG,581.1136,20202021,0,7,4.0,2020,185.0,93.0,36.0,0.0,183.0
3,1,4,0.51351,1,17,1,Richardson,0,4,8470755,0,4,0.23529,R,0,0,20202021,0,0,0.05555,L,18,Brad Richardson,NSH,735.8235,20202021,0,5,12.0,2020,183.0,86.0,35.0,0.0,163.0
25,13,31,0.62249,3,54,23,Bergeron,1,16,8470638,27,48,0.88888,C,7,13,20202021,3,4,0.12637,R,182,Patrice Bergeron,BOS,1093.3148,20202021,1,74,96.0,2020,185.0,89.0,35.0,0.0,45.0
1,0,1,1.0,0,7,0,Eriksson,0,2,8470626,-3,1,0.14285,L,0,0,20202021,0,0,0.0,L,5,Loui Eriksson,VAN,574.7142,20202021,0,1,22.0,2020,188.0,81.0,35.0,0.0,33.0
12,8,14,0.0,1,49,9,Perry,0,39,8470621,-4,21,0.42857,R,1,7,20202021,0,0,0.14516,R,62,Corey Perry,MTL,824.3469,20202021,0,30,59.0,2020,191.0,94.0,35.0,0.0,28.0
11,3,9,,1,54,4,Keith,0,30,8470281,-13,15,0.27777,D,1,6,20202021,0,0,0.03636,L,110,Duncan Keith,CHI,1404.574,20202021,0,34,43.0,2020,185.0,87.0,37.0,0.0,54.0
20,9,25,0.56935,2,54,10,Spezza,0,6,8469455,3,30,0.55555,C,1,5,20202021,0,0,0.12345,R,81,Jason Spezza,TOR,661.7592,20202021,1,43,37.0,2020,191.0,99.0,37.0,0.0,2.0
15,5,15,0.57352,0,44,5,Thornton,0,14,8466138,6,20,0.45454,C,0,5,20202021,0,0,0.11904,L,42,Joe Thornton,TOR,823.2045,20202021,0,25,15.0,2020,193.0,100.0,41.0,0.0,1.0
19,3,15,,0,56,3,Goligoski,0,14,8471274,2,22,0.39285,D,0,7,20202021,0,0,0.04166,L,72,Alex Goligoski,ARI,1380.3928,20202021,0,47,62.0,2020,180.0,78.0,35.0,0.0,61.0
10,4,12,0.48181,0,51,4,Comeau,0,37,8471260,-13,14,0.2745,L,0,0,20202021,0,2,0.05263,R,76,Blake Comeau,DAL,944.4117,20202021,0,18,2.0,2020,185.0,91.0,34.0,0.0,47.0
8,3,6,0.5,0,11,4,Radulov,0,6,8471228,9,12,1.0909,R,1,6,20202021,0,0,0.16,L,25,Alexander Radulov,DAL,1067.3636,20202021,0,16,26.0,2020,185.0,91.0,34.0,0.0,15.0
31,11,31,0.375,2,50,15,Wheeler,0,50,8471218,-17,46,0.92,R,4,15,20202021,0,0,0.13274,R,113,Blake Wheeler,WPG,1100.44,20202021,0,61,77.0,2020,196.0,101.0,34.0,0.0,5.0
20,4,19,0.42458,0,33,8,Malkin,0,24,8471215,-4,28,0.84848,C,4,9,20202021,0,0,0.11111,L,72,Evgeni Malkin,PIT,1064.4545,20202021,0,36,65.0,2020,196.0,97.0,34.0,0.0,2.0
18,15,25,0.0,6,45,24,Ovechkin,1,12,8471214,-7,42,0.93333,L,9,17,20202021,0,0,0.13186,R,182,Alex Ovechkin,WSH,1170.1111,20202021,0,66,143.0,2020,191.0,108.0,35.0,0.0,1.0
19,5,16,,1,55,8,Heiskanen,0,12,8480036,-9,27,0.4909,D,3,11,20202021,0,0,0.06611,L,121,Miro Heiskanen,DAL,1498.0545,20202021,0,62,77.0,2020,188.0,89.0,21.0,0.0,3.0
19,15,30,0.4869,4,56,17,Gourde,1,44,8476826,10,36,0.64285,C,2,6,20202021,0,0,0.14406,L,118,Yanni Gourde,TBL,1024.4285,20202021,0,53,69.0,2020,175.0,78.0,29.0,,
