skaterFullName,playerId,season,y_test,y_pred
Nathan MacKinnon,8477492,20242025,47.0,185.8104
Nikita Kucherov,8476453,20242025,22.0,167.05473
Quinn Hughes,8480800,20242025,27.0,155.46417
Connor McDavid,8478402,20242025,39.0,149.94104
Kirill Kaprizov,8478864,20242025,32.0,147.4461
Leon Draisaitl,8477934,20242025,36.0,146.04935
Cale Makar,8480069,20242025,54.0,142.8112
Roman Josi,8474600,20242025,11.0,131.97498
Mikko Rantanen,8478420,20242025,35.0,131.59442
David Pastrnak,8477956,20242025,37.0,127.33466
Clayton Keller,8479343,20242025,25.0,124.76068
Rasmus Dahlin,8480839,20242025,23.0,124.17553
Auston Matthews,8479318,20242025,23.0,124.160645
Nico Hischier,8480002,20242025,15.0,123.09195
Tim Stützle,8482116,20242025,29.0,121.629875
Mitch Marner,8478483,20242025,23.0,119.599594
Jack Hughes,8481559,20242025,33.0,119.35412
Mark Scheifele,8476460,20242025,35.0,118.54886
Sidney Crosby,8471675,20242025,31.0,117.64847
Nick Suzuki,8480018,20242025,25.0,117.44284
Martin Necas,8480039,20242025,36.0,117.4197
Artemi Panarin,8478550,20242025,22.0,117.404884
William Nylander,8477939,20242025,34.0,116.38379
Adam Fox,8479323,20242025,35.0,113.86863
Robert Thomas,8480023,20242025,15.0,113.759705
Dougie Hamilton,8476462,20242025,18.0,112.45556
Kyle Connor,8478398,20242025,35.0,112.326195
Jack Eichel,8478403,20242025,32.0,112.24582
Wyatt Johnston,8482740,20242025,32.0,110.65291
Kirill Marchenko,8480893,20242025,31.0,109.88342
Brayden Point,8478010,20242025,12.0,109.61537
Sebastian Aho,8478427,20242025,25.0,108.93289
Mikhail Sergachev,8479410,20242025,31.0,108.27711
Jake Guentzel,8477404,20242025,23.0,107.814064
Dylan Larkin,8477946,20242025,33.0,107.2075
Josh Morrissey,8477504,20242025,41.0,107.192345
Cole Caufield,8481540,20242025,32.0,107.05117
Matt Boldy,8481557,20242025,30.0,107.00999
Bryan Rust,8475810,20242025,20.0,105.826256
JJ Peterka,8482175,20242025,19.0,105.60655
Jason Robertson,8480027,20242025,35.0,104.43111
Zach Werenski,8478460,20242025,30.0,104.14128
Jesper Bratt,8479407,20242025,22.0,103.29439
Shea Theodore,8477447,20242025,15.0,103.028145
Jonathan Huberdeau,8476456,20242025,13.0,102.88255
Macklin Celebrini,8484801,20242025,40.0,102.80549
Patrick Kane,8474141,20242025,11.0,102.58389
Lucas Raymond,8482078,20242025,22.0,101.99142
Owen Power,8482671,20242025,16.0,101.883385
Jake Sanderson,8482105,20242025,29.0,101.1323
Seth Jarvis,8482093,20242025,26.0,101.130615
Moritz Seider,8481542,20242025,22.0,101.06627
Sam Reinhart,8477933,20242025,23.0,100.446
Dylan Strome,8478440,20242025,21.0,100.25367
Noah Hanifin,8478396,20242025,7.0,99.188736
Jordan Kyrou,8479385,20242025,17.0,99.18547
Jake Walman,8478013,20242025,23.0,98.70618
Vince Dunn,8478407,20242025,27.0,98.44913
Miro Heiskanen,8480036,20242025,37.0,98.40547
Alex Ovechkin,8471214,20242025,19.0,98.16657
Filip Forsberg,8476887,20242025,23.0,97.61709
Brady Tkachuk,8480801,20242025,3.0,97.32553
MacKenzie Weegar,8477346,20242025,8.0,96.90968
Aaron Ekblad,8477932,20242025,9.0,96.51546
Noah Dobson,8480865,20242025,23.0,96.49349
Lane Hutson,8483457,20242025,29.0,96.377815
Brandon Hagel,8479542,20242025,21.0,96.37063
Adrian Kempe,8477960,20242025,25.0,96.06567
John Tavares,8475166,20242025,35.0,95.75212
Luke Hughes,8482684,20242025,23.0,95.696075
Logan Cooley,8483431,20242025,25.0,95.429695
J.T. Miller,8476468,20242025,13.0,94.43999
Evan Bouchard,8480803,20242025,35.0,94.00533
Tage Thompson,8479420,20242025,24.0,93.31701
Devon Toews,8478038,20242025,14.0,93.09773
Charlie McAvoy,8479325,20242025,28.0,92.084366
Thomas Harley,8481581,20242025,21.0,91.79559
Rickard Rakell,8476483,20242025,11.0,91.15181
Vincent Trocheck,8476389,20242025,7.0,91.116394
Jakob Chychrun,8479345,20242025,30.0,90.70066
Alex DeBrincat,8479337,20242025,28.0,89.85768
Jonathan Drouin,8477494,20242025,17.0,89.82735
Sean Monahan,8477497,20242025,11.0,89.46725
Travis Konecny,8478439,20242025,19.0,88.7348
Mikael Granlund,8475798,20242025,12.0,88.59412
Morgan Rielly,8476853,20242025,33.0,88.44153
Shayne Gostisbehere,8476906,20242025,25.0,88.40572
Seth Jones,8477495,20242025,19.0,88.0284
Kent Johnson,8482660,20242025,7.0,87.73694
Connor Bedard,8484144,20242025,39.0,87.33448
Jackson LaCombe,8481605,20242025,14.0,86.388336
William Eklund,8482667,20242025,17.0,86.32855
Drake Batherson,8480208,20242025,24.0,84.81728
John Carlson,8474590,20242025,32.0,84.41139
Kevin Fiala,8477942,20242025,23.0,84.32351
Bowen Byram,8481524,20242025,18.0,84.30922
Bo Horvat,8477500,20242025,38.0,83.963585
Brandon Montour,8477986,20242025,21.0,83.51546
Marco Rossi,8482079,20242025,17.0,83.293785
Victor Hedman,8475167,20242025,24.0,82.66269
Ryan Nugent-Hopkins,8476454,20242025,21.0,82.461235
Joel Eriksson Ek,8478493,20242025,14.0,82.21551
Gabriel Vilardi,8480014,20242025,20.0,81.432175
Thomas Chabot,8478469,20242025,22.0,81.31218
Valeri Nichushkin,8477501,20242025,17.0,80.71707
Neal Pionk,8480145,20242025,6.0,80.248245
Matt Duchene,8475168,20242025,3.0,80.135605
Dylan Guenther,8482699,20242025,21.0,79.89822
Alex Tuch,8477949,20242025,23.0,79.58047
Filip Hronek,8479425,20242025,18.0,79.43756
Erik Karlsson,8474578,20242025,25.0,79.171844
Matthew Knies,8482720,20242025,27.0,79.1008
Pavel Dorofeyev,8481604,20242025,26.0,78.57254
Anthony Cirelli,8478519,20242025,18.0,77.890495
Tyler Toffoli,8475726,20242025,16.0,77.86004
Adam Fantilli,8484166,20242025,17.0,77.3744
Matt Coronato,8482679,20242025,14.0,76.167816
Darnell Nurse,8477498,20242025,17.0,76.1489
Elias Lindholm,8477496,20242025,13.0,76.14245
Darren Raddysh,8478178,20242025,7.0,75.941315
Matvei Michkov,8484387,20242025,13.0,75.19481
Andrei Svechnikov,8480830,20242025,16.0,75.01897
Dylan Cozens,8481528,20242025,21.0,74.88371
Morgan Geekie,8479987,20242025,30.0,74.592766
Nazem Kadri,8475172,20242025,15.0,73.83394
Aliaksei Protas,8481656,20242025,15.0,73.82485
Jake DeBrusk,8478498,20242025,14.0,73.68971
Mika Zibanejad,8476459,20242025,17.0,73.182724
Timo Meier,8478414,20242025,19.0,72.56094
Carter Verhaeghe,8477409,20242025,10.0,72.22893
Brad Marchand,8473419,20242025,33.0,72.17272
Steven Stamkos,8474564,20242025,9.0,71.98158
Ryan Donato,8477987,20242025,17.0,71.712715
Matthew Grzelcyk,8476891,20242025,8.0,71.63444
Tom Wilson,8476880,20242025,26.0,71.54536
Mark Stone,8475913,20242025,15.0,71.08126
Josh Norris,8480064,20242025,0.0,70.94262
Mason McTavish,8482745,20242025,14.0,70.87877
Alexis Lafrenière,8482109,20242025,16.0,70.4172
Nick Schmaltz,8477951,20242025,34.0,70.40148
William Karlsson,8476448,20242025,11.0,70.304245
Barrett Hayton,8480849,20242025,6.0,70.217575
Connor McMichael,8481580,20242025,8.0,69.772804
Dylan Holloway,8482077,20242025,14.0,69.49376
Colton Parayko,8476892,20242025,12.0,69.1158
Mattias Ekholm,8475218,20242025,15.0,68.99412
Juraj Slafkovský,8483515,20242025,15.0,68.9759
Kris Letang,8471724,20242025,17.0,68.96355
Pierre-Luc Dubois,8479400,20242025,0.0,68.75987
Jared McCann,8477955,20242025,7.0,68.71401
Anton Lundell,8482113,20242025,19.0,68.57744
Pavel Buchnevich,8477402,20242025,9.0,68.509026
Travis Sanheim,8477948,20242025,13.0,68.44948
Roope Hintz,8478449,20242025,20.0,68.423874
Tyler Seguin,8475794,20242025,17.0,68.421646
Brock Boeser,8478444,20242025,21.0,68.38303
Mats Zuccarello,8475692,20242025,2.0,68.38198
Brock Faber,8482122,20242025,21.0,68.013794
Will Smith,8484227,20242025,24.0,67.85388
Quinton Byfield,8482124,20242025,21.0,67.841835
Sam Bennett,8477935,20242025,8.0,67.64948
Zach Hyman,8475786,20242025,1.0,67.584785
Jonathan Marchessault,8476539,20242025,10.0,67.58419
Sean Couturier,8476461,20242025,12.0,67.54815
Ivan Provorov,8478500,20242025,15.0,67.24142
Gustav Forsling,8478055,20242025,16.0,67.21201
Dmitri Voronkov,8481716,20242025,21.0,66.018745
K'Andre Miller,8480817,20242025,18.0,65.383415
Alex Laferriere,8482155,20242025,15.0,65.360565
Tomas Hertl,8476881,20242025,22.0,65.177
Jaden Schwartz,8475768,20242025,21.0,64.95947
Anze Kopitar,8471685,20242025,11.0,64.832375
Mason Lohrei,8482511,20242025,22.0,64.1099
Pavel Zacha,8478401,20242025,21.0,64.03299
Patrik Laine,8479339,20242025,1.0,63.882736
Cole Perfetti,8482149,20242025,3.0,63.598755
Jason Zucker,8475722,20242025,11.0,63.491364
Troy Terry,8478873,20242025,25.0,63.28419
Mathew Barzal,8478445,20242025,20.0,62.863594
Brady Skjei,8476869,20242025,12.0,62.080517
Mason Marchment,8478975,20242025,9.0,62.000328
Elias Pettersson,8480012,20242025,19.0,61.97106
Nikolaj Ehlers,8477940,20242025,16.0,61.563965
Connor Zary,8482074,20242025,3.0,61.35158
Artturi Lehkonen,8477476,20242025,26.0,61.333973
Conor Garland,8478856,20242025,18.0,61.291447
Fabian Zetterlund,8480188,20242025,5.0,61.05192
Tyson Foerster,8482159,20242025,11.0,61.042805
Zayne Parekh,8484768,20242025,2.0,61.027115
Justin Faulk,8475753,20242025,24.0,60.609333
Pius Suter,8480459,20242025,15.0,60.60874
Brandt Clarke,8482730,20242025,20.0,60.13656
Philip Broberg,8481598,20242025,16.0,59.920486
Mike Matheson,8476875,20242025,21.0,59.859474
Drew Doughty,8474563,20242025,18.0,59.846275
Chandler Stephenson,8476905,20242025,16.0,59.433136
Boone Jenner,8476432,20242025,13.0,59.40603
Brock Nelson,8475754,20242025,11.0,59.391975
Frank Vatrano,8478366,20242025,5.0,59.259415
Matty Beniers,8482665,20242025,14.0,59.219215
Ryan McLeod,8480802,20242025,13.0,59.07422
Shane Pinto,8481596,20242025,24.0,58.71939
Yegor Chinakhov,8482475,20242025,6.0,58.40844
Oliver Bjorkstrand,8477416,20242025,7.0,58.298164
Jonas Brodin,8476463,20242025,12.0,58.052364
Alex Vlasic,8481568,20242025,9.0,57.948833
Olen Zellweger,8482803,20242025,11.0,57.58143
Ryan O'Reilly,8475158,20242025,19.0,57.23535
Ryan Strome,8476458,20242025,1.0,57.087505
Rasmus Andersson,8478397,20242025,17.0,57.003918
Claude Giroux,8473512,20242025,18.0,56.381405
Ivan Barbashev,8477964,20242025,23.0,56.26242
Jacob Trouba,8476885,20242025,28.0,55.962284
Cam Fowler,8475764,20242025,16.0,55.92252
Logan Stankoven,8482702,20242025,15.0,55.444225
Simon Edvinsson,8482762,20242025,15.0,55.33996
Marco Kasper,8483464,20242025,6.0,54.933983
Owen Tippett,8480015,20242025,17.0,54.708668
Hampus Lindholm,8476854,20242025,11.0,54.679306
Jordan Eberle,8474586,20242025,20.0,54.078278
Kyle Palmieri,8475151,20242025,18.0,53.74132
Kirby Dach,8481523,20242025,12.0,53.47595
Anders Lee,8475314,20242025,14.0,53.426773
Cutter Gauthier,8483445,20242025,36.0,53.301426
Simon Holmstrom,8481601,20242025,13.0,53.270023
Sean Durzi,8480434,20242025,2.0,52.81783
Luke Evangelista,8482146,20242025,12.0,52.757023
Warren Foegele,8477998,20242025,6.0,52.745163
Morgan Frost,8480028,20242025,13.0,52.743023
Phillip Danault,8476479,20242025,4.0,52.558266
Leo Carlsson,8484153,20242025,37.0,52.49265
Kevin Bahl,8480860,20242025,10.0,52.334637
Jake Neighbours,8482089,20242025,13.0,52.189392
Cole Sillinger,8482705,20242025,9.0,52.071102
Stefan Noesen,8476474,20242025,3.0,52.011124
Brett Howden,8479353,20242025,8.0,51.883133
Dawson Mercer,8482110,20242025,25.0,51.712975
Ivan Demidov,8484984,20242025,17.0,51.266705
Adam Pelech,8476917,20242025,4.0,51.208454
Josh Doan,8482659,20242025,17.0,51.076035
Ridly Greig,8482092,20242025,10.0,50.901104
Eeli Tolvanen,8480009,20242025,12.0,50.84518
Brent Burns,8470613,20242025,19.0,50.736256
Dante Fabbro,8479371,20242025,9.0,50.61465
Filip Chytil,8480078,20242025,6.0,50.613117
Trevor Moore,8479675,20242025,8.0,50.510426
Jean-Gabriel Pageau,8476419,20242025,18.0,50.40753
Kaapo Kakko,8481554,20242025,2.0,50.290646
Jack Roslovic,8478458,20242025,20.0,50.193996
Michael Kesselring,8480891,20242025,0.0,49.785343
Trevor Zegras,8481533,20242025,25.0,49.37348
Connor Murphy,8476473,20242025,6.0,49.146606
Vladislav Gavrikov,8478882,20242025,14.0,49.012543
Kaiden Guhle,8482087,20242025,5.0,48.96725
Tony DeAngelo,8477950,20242025,15.0,48.84802
J.T. Compher,8477456,20242025,9.0,48.822514
Jake McCabe,8476931,20242025,20.0,48.679043
Dylan Samberg,8480049,20242025,0.0,48.636436
Charlie Coyle,8475745,20242025,15.0,48.10973
Reilly Smith,8475191,20242025,7.0,48.098618
Adam Larsson,8476457,20242025,11.0,47.668236
Ryan Pulock,8477506,20242025,14.0,47.513996
Casey Mittelstadt,8479999,20242025,13.0,47.4422
Samuel Girard,8479398,20242025,2.0,47.265984
Blake Coleman,8476399,20242025,15.0,47.041515
Brett Pesce,8477488,20242025,6.0,47.00653
John Marino,8478507,20242025,19.0,46.982758
Marcus Pettersson,8477969,20242025,6.0,46.15174
Will Cuylle,8482157,20242025,16.0,46.00957
Artyom Levshunov,8484783,20242025,20.0,45.90272
Ville Koivunen,8482758,20242025,2.0,45.87057
Kiefer Sherwood,8480748,20242025,26.0,45.6569
Andre Burakovsky,8477444,20242025,21.0,45.639652
Jiri Kulich,8483468,20242025,8.0,45.320732
Jesperi Kotkaniemi,8480829,20242025,7.0,45.255104
Chris Kreider,8475184,20242025,23.0,45.092587
Andrew Copp,8477429,20242025,8.0,44.706528
Alexander Romanov,8481014,20242025,2.0,44.64002
Vladimir Tarasenko,8475765,20242025,12.0,44.533638
